velocity,coherence,physical_influence,restored_index,probability
0.5500,0.8000,4,7,0.187988
0.5500,0.8250,4,7,0.189453
0.5500,0.8500,6,1,0.251465
0.5500,0.8750,6,1,0.242188
0.5500,0.9000,6,1,0.218262
0.5500,0.9250,4,7,0.232910
0.5500,0.9500,6,1,0.227539
0.5500,0.9750,6,1,0.209961
0.5500,1.0000,6,1,0.195801
0.5750,0.8000,6,1,0.274902
0.5750,0.8250,6,1,0.246094
0.5750,0.8500,6,1,0.267578
0.5750,0.8750,6,1,0.241211
0.5750,0.9000,4,7,0.231934
0.5750,0.9250,4,7,0.229492
0.5750,0.9500,4,7,0.247070
0.5750,0.9750,6,1,0.229492
0.5750,1.0000,4,7,0.295410
0.6000,0.8000,4,0,0.001465
0.6000,0.8250,6,2,0.422363
0.6000,0.8500,6,2,0.418457
0.6000,0.8750,6,2,0.423828
0.6000,0.9000,6,2,0.442383
0.6000,0.9250,4,0,0.002441
0.6000,0.9500,4,0,0.002441
0.6000,0.9750,4,0,0.005371
0.6000,1.0000,6,2,0.446289
0.6250,0.8000,6,2,0.385742
0.6250,0.8250,4,0,0.000488
0.6250,0.8500,6,2,0.423340
0.6250,0.8750,6,2,0.452637
0.6250,0.9000,4,0,0.002930
0.6250,0.9250,4,0,0.001465
0.6250,0.9500,6,2,0.433105
0.6250,0.9750,4,0,0.002441
0.6250,1.0000,4,0,0.003418
0.6500,0.8000,6,3,0.279785
0.6500,0.8250,6,3,0.260254
0.6500,0.8500,6,3,0.256348
0.6500,0.8750,6,3,0.243164
0.6500,0.9000,4,1,0.248047
0.6500,0.9250,4,1,0.240723
0.6500,0.9500,6,3,0.226562
0.6500,0.9750,6,3,0.217773
0.6500,1.0000,4,1,0.195312
0.6750,0.8000,6,4,0.265625
0.6750,0.8250,6,4,0.253906
0.6750,0.8500,4,2,0.421387
0.6750,0.8750,6,4,0.254395
0.6750,0.9000,4,2,0.417969
0.6750,0.9250,6,4,0.243164
0.6750,0.9500,6,4,0.219727
0.6750,0.9750,4,2,0.460938
0.6750,1.0000,4,2,0.469238
0.7000,0.8000,4,2,0.389160
0.7000,0.8250,6,4,0.249023
0.7000,0.8500,4,2,0.425293
0.7000,0.8750,4,2,0.413574
0.7000,0.9000,6,4,0.239258
0.7000,0.9250,4,2,0.453613
0.7000,0.9500,4,2,0.435059
0.7000,0.9750,6,4,0.227051
0.7000,1.0000,4,2,0.445801
0.7250,0.8000,4,3,0.256836
0.7250,0.8250,6,5,0.000488
0.7250,0.8500,6,5,0.001465
0.7250,0.8750,6,5,0.000977
0.7250,0.9000,6,5,0.002930
0.7250,0.9250,4,3,0.223145
0.7250,0.9500,4,3,0.238770
0.7250,0.9750,6,5,0.003906
0.7250,1.0000,4,3,0.210938
0.7500,0.8000,6,7,0.190430
0.7500,0.8250,6,7,0.208496
0.7500,0.8500,6,7,0.210938
0.7500,0.8750,6,7,0.232910
0.7500,0.9000,6,7,0.225098
0.7500,0.9250,6,7,0.228516
0.7500,0.9500,4,5,0.003418
0.7500,0.9750,6,7,0.251465
0.7500,1.0000,4,5,0.001465
