velocity_fraction_c,coherence,probability
0.000000,0.000000,0.128906
0.000000,0.100000,0.141602
0.000000,0.200000,0.130859
0.000000,0.300000,0.116211
0.000000,0.400000,0.146484
0.000000,0.500000,0.130859
0.000000,0.600000,0.136719
0.000000,0.700000,0.115234
0.000000,0.800000,0.125977
0.000000,0.900000,0.129883
0.000000,1.000000,0.135742
0.099000,0.000000,0.238281
0.099000,0.100000,0.249023
0.099000,0.200000,0.295898
0.099000,0.300000,0.311523
0.099000,0.400000,0.306641
0.099000,0.500000,0.305664
0.099000,0.600000,0.291992
0.099000,0.700000,0.315430
0.099000,0.800000,0.275391
0.099000,0.900000,0.240234
0.099000,1.000000,0.208008
0.198000,0.000000,0.228516
0.198000,0.100000,0.279297
0.198000,0.200000,0.289062
0.198000,0.300000,0.296875
0.198000,0.400000,0.288086
0.198000,0.500000,0.330078
0.198000,0.600000,0.297852
0.198000,0.700000,0.315430
0.198000,0.800000,0.278320
0.198000,0.900000,0.229492
0.198000,1.000000,0.203125
0.297000,0.000000,0.014648
0.297000,0.100000,0.018555
0.297000,0.200000,0.109375
0.297000,0.300000,0.036133
0.297000,0.400000,0.048828
0.297000,0.500000,0.090820
0.297000,0.600000,0.007812
0.297000,0.700000,0.146484
0.297000,0.800000,0.002930
0.297000,0.900000,0.002930
0.297000,1.000000,0.005859
0.396000,0.000000,0.021484
0.396000,0.100000,0.017578
0.396000,0.200000,0.113281
0.396000,0.300000,0.083984
0.396000,0.400000,0.045898
0.396000,0.500000,0.028320
0.396000,0.600000,0.124023
0.396000,0.700000,0.150391
0.396000,0.800000,0.002930
0.396000,0.900000,0.233398
0.396000,1.000000,0.272461
0.495000,0.000000,0.230469
0.495000,0.100000,0.293945
0.495000,0.200000,0.023438
0.495000,0.300000,0.280273
0.495000,0.400000,0.068359
0.495000,0.500000,0.284180
0.495000,0.600000,0.302734
0.495000,0.700000,0.124023
0.495000,0.800000,0.176758
0.495000,0.900000,0.222656
0.495000,1.000000,0.225586
0.594000,0.000000,0.184570
0.594000,0.100000,0.046875
0.594000,0.200000,0.056641
0.594000,0.300000,0.100586
0.594000,0.400000,0.178711
0.594000,0.500000,0.220703
0.594000,0.600000,0.289062
0.594000,0.700000,0.340820
0.594000,0.800000,0.000977
0.594000,0.900000,0.000000
0.594000,1.000000,0.433594
0.693000,0.000000,0.018555
0.693000,0.100000,0.049805
0.693000,0.200000,0.068359
0.693000,0.300000,0.316406
0.693000,0.400000,0.323242
0.693000,0.500000,0.286133
0.693000,0.600000,0.295898
0.693000,0.700000,0.276367
0.693000,0.800000,0.250977
0.693000,0.900000,0.413086
0.693000,1.000000,0.467773
0.792000,0.000000,0.168945
0.792000,0.100000,0.154297
0.792000,0.200000,0.118164
0.792000,0.300000,0.062500
0.792000,0.400000,0.046875
0.792000,0.500000,0.323242
0.792000,0.600000,0.306641
0.792000,0.700000,0.270508
0.792000,0.800000,0.001953
0.792000,0.900000,0.000000
0.792000,1.000000,0.002930
0.891000,0.000000,0.260742
0.891000,0.100000,0.285156
0.891000,0.200000,0.023438
0.891000,0.300000,0.302734
0.891000,0.400000,0.310547
0.891000,0.500000,0.076172
0.891000,0.600000,0.118164
0.891000,0.700000,0.142578
0.891000,0.800000,0.185547
0.891000,0.900000,0.238281
0.891000,1.000000,0.278320
0.990000,0.000000,0.023438
0.990000,0.100000,0.136719
0.990000,0.200000,0.096680
0.990000,0.300000,0.041992
0.990000,0.400000,0.054688
0.990000,0.500000,0.022461
0.990000,0.600000,0.129883
0.990000,0.700000,0.142578
0.990000,0.800000,0.206055
0.990000,0.900000,0.001953
0.990000,1.000000,0.005859
