velocity,restored_index,restored_event,top_branch,top_probability
0.0000,1,la raiz busco agua,100,0.1416
0.0202,6,la tierra recordo el ciclo,011,0.2881
0.0404,7,el comienzo regreso,111,0.2842
0.0606,6,la tierra recordo el ciclo,011,0.3018
0.0808,6,la tierra recordo el ciclo,011,0.3213
0.1010,6,la tierra recordo el ciclo,011,0.2969
0.1212,6,la tierra recordo el ciclo,011,0.2822
0.1414,7,el comienzo regreso,111,0.2842
0.1616,7,el comienzo regreso,111,0.2930
0.1818,6,la tierra recordo el ciclo,011,0.2939
0.2020,6,la tierra recordo el ciclo,011,0.2783
0.2222,6,la tierra recordo el ciclo,011,0.2920
0.2424,7,el comienzo regreso,111,0.2871
0.2627,7,el comienzo regreso,111,0.2949
0.2829,6,la tierra recordo el ciclo,011,0.2959
0.3031,2,el tallo encontro luz,010,0.2393
0.3233,1,la raiz busco agua,100,0.2822
0.3435,2,el tallo encontro luz,010,0.2412
0.3637,3,la flor se abrio,110,0.2471
0.3839,0,la semilla fue sembrada,000,0.2559
0.4041,3,la flor se abrio,110,0.2490
0.4243,2,el tallo encontro luz,010,0.2676
0.4445,3,la flor se abrio,110,0.2529
0.4647,6,la tierra recordo el ciclo,011,0.2803
0.4849,0,la semilla fue sembrada,000,0.2627
0.5051,7,el comienzo regreso,111,0.2861
0.5253,6,la tierra recordo el ciclo,011,0.2891
0.5455,7,el comienzo regreso,111,0.2832
0.5657,6,la tierra recordo el ciclo,011,0.2861
0.5859,3,la flor se abrio,110,0.2588
0.6061,3,la flor se abrio,110,0.2656
0.6263,3,la flor se abrio,110,0.2471
0.6465,7,el comienzo regreso,111,0.2773
0.6667,7,el comienzo regreso,111,0.4062
0.6869,7,el comienzo regreso,111,0.2715
0.7071,7,el comienzo regreso,111,0.3027
0.7273,3,la flor se abrio,110,0.2686
0.7476,1,la raiz busco agua,100,0.2627
0.7678,3,la flor se abrio,110,0.2686
0.7880,7,el comienzo regreso,111,0.2842
0.8082,6,la tierra recordo el ciclo,011,0.2988
0.8284,6,la tierra recordo el ciclo,011,0.2881
0.8486,7,el comienzo regreso,111,0.2910
0.8688,6,la tierra recordo el ciclo,011,0.2832
0.8890,7,el comienzo regreso,111,0.2930
0.9092,7,el comienzo regreso,111,0.3818
0.9294,3,la flor se abrio,110,0.2754
0.9496,6,la tierra recordo el ciclo,011,0.2812
0.9698,0,la semilla fue sembrada,000,0.2539
0.9900,2,el tallo encontro luz,010,0.2549
